dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,published_targets_available,lead_mse_cells,lead_mae_cells,lead_total_cells,balanced_relative_score,validation_mean_mse_4h,trainable_parameters,dataset_joint_mean_score,mse_ratio_to_dataset_best,mae_ratio_to_dataset_best,joint_mean_score_ratio_to_dataset_best,joint_mean_guard_pass,pareto_frontier
Weather,H4L,Weather__h4l_wd1e3,h4l_wd1e3,0.21654194383536188,0.2483343459915473,True,1,1,2,1.0131148578054816,0.48777499433665994,4927509,1.0131148578054816,1.0083337242512616,1.00914526983304,1.0074635025559404,True,False
Weather,H4L,Weather__h4l_wd5e2,h4l_wd5e2,0.2165722698808754,0.24829852875807873,True,1,1,2,1.0131015438924595,0.48782441326775516,4927509,1.0131015438924595,1.0084749383452745,1.0089997209296495,1.007450262910561,True,False
Weather,H4M,Weather__h4m_seq512_p16_lr1e5,h4m_seq512_p16_lr1e5,0.21594112028039497,0.24725258200106084,True,1,0,1,1.0085092149670414,0.5003427683013595,3354773,1.0085092149670414,1.005535972268125,1.004749353473922,1.002883550905061,True,False
Weather,H4M,Weather__h4m_seq512_p16_lr2e5,h4m_seq512_p16_lr2e5,0.2155953194171789,0.2460838428471586,True,1,1,2,1.0056094888154297,0.49829436646763325,3354773,1.0056094888154297,1.0039257407070696,1.0,1.0,True,True
Weather,H4M,Weather__h4m_seq512_p16_lr2e5_r16,h4m_seq512_p16_lr2e5_r16,0.21651114148153944,0.2494039836720253,True,1,0,1,1.0155444582712345,0.5010779468972784,1160773,1.0155444582712345,1.0081902922140527,1.0134919090438979,1.009879550229292,True,False
Weather,H4M,Weather__h4m_seq512_p16_lr2e5_r64,h4m_seq512_p16_lr2e5_r64,0.21561628798940752,0.24696710092926916,True,1,1,2,1.0076484950970446,0.49950505158723524,2213893,1.0076484950970446,1.0040233814604176,1.0035892567016647,1.0020276323009012,True,False
Weather,H4M,Weather__h4m_seq512_p32_lr2e5_r64,h4m_seq512_p32_lr2e5_r64,0.21665560053768612,0.24763701187675097,True,1,0,1,1.0118644050205643,0.5011690143384926,4293637,1.0118644050205643,1.0088629699203033,1.0063115441128618,1.0062200250442175,True,False
Weather,H4M,Weather__h4m_seq512_p8_lr2e5_r64,h4m_seq512_p8_lr2e5_r64,0.21599786290740813,0.24802177920890894,True,1,0,1,1.0108055024312952,0.500065550793125,1175557,1.0108055024312952,1.0058001959257064,1.007875106058686,1.0051670292232289,True,False
Weather,H4M,Weather__h4m_seq640_p20,h4m_seq640_p20,0.21475225773704548,0.24732382147925186,True,3,1,4,1.0065325471792885,0.491397054869652,4141205,1.0065325471792885,1.0,1.0050388461824509,1.0009179093615617,True,True
Weather,H4M,Weather__h4m_seq960_p30,h4m_seq960_p30,0.21543016374905466,0.24983972815128844,True,2,0,2,1.0146600016811869,0.4828334314855821,6107285,1.0146600016811869,1.00315668863812,1.0152626245619165,1.0090000273132052,True,False
