split,control,dataset,horizon,ordered_mse,control_mse,mse_gain,ordered_mae,control_mae,mae_gain
validation,GENERIC_MATCHED,ETTm2,192,0.18103994925816855,0.1934251451776141,0.06403095061954206,0.3071589184304078,0.3173055251439412,0.03197740319501381
validation,GENERIC_MATCHED,ETTm2,336,0.2225045203959861,0.23346501365810834,0.046947048255260464,0.3353028974565519,0.34407980486649237,0.025508348022186395
validation,GENERIC_MATCHED,ETTm2,720,0.29302416377597384,0.29966391665594916,0.022157331967327124,0.37926674040537034,0.38393078645070394,0.012148142868278313
validation,GENERIC_MATCHED,Weather,96,0.4264797481989104,0.41838346445371233,-0.019351347347748207,0.30969224491762737,0.31013295243656824,0.0014210277091758355
validation,GENERIC_MATCHED,Weather,192,0.48167480161738774,0.4762569484966142,-0.011375903570280501,0.34706699375122313,0.3437228011233466,-0.009729330195573708
validation,GENERIC_MATCHED,Weather,336,0.542418879175943,0.5388110551704355,-0.006695898257630037,0.3872755387472728,0.3858594824127059,-0.0036698756907891502
validation,GENERIC_MATCHED,Weather,720,0.6142449807868433,0.6143490042005266,0.00016932299551569664,0.42926642453228986,0.4311201327692264,0.004299748715119282
test,GLOBAL_COMPRESSED,ETTh1,96,0.681748669127685,0.7091974230389059,0.03870396735735899,0.578674225664184,0.5889947068966811,0.017522196908821192
test,GLOBAL_COMPRESSED,ETTh1,192,0.6871958151313575,0.7101537891878089,0.03232817230012677,0.5872037076022268,0.5967302002752025,0.015964488924110436
test,GLOBAL_COMPRESSED,ETTh1,336,0.6891284873181923,0.7148245645346121,0.03594738973911625,0.5952226814435952,0.6078683422963693,0.02080328908888731
test,GLOBAL_COMPRESSED,ETTh1,720,0.7430249753476125,0.781288796796247,0.04897525934780984,0.6264256829879847,0.648848668476976,0.03455811282101276
test,GLOBAL_COMPRESSED,ETTh2,96,0.2731311676671975,0.3196668997891286,0.14557569818028962,0.3454105437677966,0.39108912830945824,0.11679840024987194
test,GLOBAL_COMPRESSED,ETTh2,192,0.3110962139131404,0.34512087940547176,0.09858767615261212,0.37167907158875224,0.4076905153565844,0.08833034473793176
test,GLOBAL_COMPRESSED,ETTh2,336,0.34357748217837686,0.36925752705558956,0.06954508167235471,0.3975008584371167,0.42420854110267936,0.06295885178582035
test,GLOBAL_COMPRESSED,ETTh2,720,0.4245796452036674,0.44619321041017934,0.048439924011041906,0.45257093854443403,0.47424908861016946,0.045710472800833915
test,GLOBAL_COMPRESSED,ETTm1,96,0.37560666709615775,0.6411808679963056,0.4141954542874446,0.41325169512834964,0.5355133237166063,0.22830735142074174
test,GLOBAL_COMPRESSED,ETTm1,192,0.40120616642339546,0.6501886500273991,0.3829388341268514,0.42769790024218174,0.5407298307369084,0.20903586979968602
test,GLOBAL_COMPRESSED,ETTm1,336,0.433108948558138,0.6615849557469168,0.3453464369225775,0.4449637563798529,0.5475418519114741,0.18734293127277854
test,GLOBAL_COMPRESSED,ETTm1,720,0.4850220241689557,0.6771440663289503,0.2837240281843709,0.47063873941001383,0.558003171351425,0.15656619249998827
test,GLOBAL_COMPRESSED,ETTm2,96,0.21199570547951488,0.27969788825343594,0.24205467977139572,0.30445911074926496,0.35403429079698867,0.14002931731873183
test,GLOBAL_COMPRESSED,ETTm2,192,0.2668439181952852,0.3144058417062182,0.15127557189403315,0.33530937895062446,0.3716082634302038,0.09768050942816851
test,GLOBAL_COMPRESSED,ETTm2,336,0.3129508118159489,0.3504205664151561,0.10692795512126252,0.3625489164344175,0.39120849903182325,0.0732591001175422
