dataset,left_group,right_group,parameter_group,batches,mean_gradient_cosine,min_gradient_cosine,negative_share,low_conflict_share_lt_0p1
Weather,learnable_hard,predictable_easy,all_shared,16,-0.035116928396746516,-0.6662195920944214,0.5625,0.625
Weather,learnable_hard,predictable_easy,encoder,16,0.18950232211500406,-0.6769925355911255,0.375,0.375
Weather,learnable_hard,predictable_easy,readout_head,16,-0.05832659895531833,-0.6761244535446167,0.5625,0.625
Weather,learnable_hard,predictable_easy,target_path,16,0.26590561849297956,-0.3311395049095154,0.375,0.375
Weather,middle_193_336,middle_97_192,all_shared,16,0.48080266430042684,0.02372141182422638,0.0,0.125
Weather,middle_193_336,middle_97_192,encoder,16,0.5455420275684446,-0.17723001539707184,0.125,0.125
Weather,middle_193_336,middle_97_192,readout_head,16,0.475391959073022,0.0345005989074707,0.0,0.125
Weather,middle_193_336,middle_97_192,target_path,16,0.4924693410284817,-0.10639997571706772,0.125,0.125
Weather,middle_193_336,noisy_hard,all_shared,15,0.48966711858908335,0.17558766901493073,0.0,0.0
Weather,middle_193_336,noisy_hard,encoder,15,0.5881010005871455,-0.04868499934673309,0.06666666666666667,0.06666666666666667
Weather,middle_193_336,noisy_hard,readout_head,15,0.4794204831123352,0.1498883217573166,0.0,0.0
Weather,middle_193_336,noisy_hard,target_path,15,0.5591177692015966,0.17651785910129547,0.0,0.0
Weather,middle_193_336,predictable_easy,all_shared,16,0.6923578581772745,0.11046933382749557,0.0,0.0
Weather,middle_193_336,predictable_easy,encoder,16,0.7530266381800175,0.15333648025989532,0.0,0.0
Weather,middle_193_336,predictable_easy,readout_head,16,0.6869454081170261,0.10070013254880905,0.0,0.0
Weather,middle_193_336,predictable_easy,target_path,16,0.7090053614228964,0.21203169226646423,0.0,0.0
Weather,middle_97_192,noisy_hard,all_shared,15,0.16565462797880173,-0.572236955165863,0.3333333333333333,0.4666666666666667
Weather,middle_97_192,noisy_hard,encoder,15,0.37032848050196965,-0.4778912365436554,0.2,0.2
Weather,middle_97_192,noisy_hard,readout_head,15,0.1432770994802316,-0.5940058827400208,0.3333333333333333,0.5333333333333333
Weather,middle_97_192,noisy_hard,target_path,15,0.442998797694842,-0.2193005084991455,0.06666666666666667,0.06666666666666667
Weather,middle_97_192,predictable_easy,all_shared,16,0.7525112321600318,0.21684382855892181,0.0,0.0
Weather,middle_97_192,predictable_easy,encoder,16,0.7205876836087555,0.038014110177755356,0.0,0.0625
Weather,middle_97_192,predictable_easy,readout_head,16,0.7565071042627096,0.23510554432868958,0.0,0.0
Weather,middle_97_192,predictable_easy,target_path,16,0.6712048309855163,0.06804684549570084,0.0,0.0625
Weather,noisy_hard,predictable_easy,all_shared,15,0.14026104311148327,-0.5976881980895996,0.26666666666666666,0.3333333333333333
Weather,noisy_hard,predictable_easy,encoder,15,0.3234094860653082,-0.41781261563301086,0.26666666666666666,0.3333333333333333
Weather,noisy_hard,predictable_easy,readout_head,15,0.1189615424722433,-0.6206464171409607,0.3333333333333333,0.4
Weather,noisy_hard,predictable_easy,target_path,15,0.4238555319607258,-0.24770918488502502,0.13333333333333333,0.2
