dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,mean_mse_target_ratio,mean_mae_target_ratio,primary_joint_score,mse_lead_cells,mae_lead_cells,combined_lead_cells,validation_mean_mse_4h,trainable_parameters,near_tie_eligible,selected
Weather,H4K,Weather__h4k_current_lr5e5_dropout0,h4k_current_lr5e5_dropout0,0.21829023954626792,0.2492082640548744,1.0125069851591015,1.0202553199999387,1.01638115257952,0,0,0,0.48539966982198024,2570133,False,False
Weather,H4K,Weather__h4k_current_lr5e5_patch24,h4k_current_lr5e5_patch24,0.21657293067914446,0.24835767842974388,1.005565083987991,1.0177036959174521,1.0116343899527216,1,1,2,0.4887215471617685,4927509,False,False
Weather,H4K,Weather__h4k_current_lr5e5_patch24_dropout0,h4k_current_lr5e5_patch24_dropout0,0.21653021148851306,0.24830228009628613,1.0053553653619696,1.0174720352594726,1.011413700310721,1,1,2,0.4879025797634977,4927509,False,False
Weather,H4K,Weather__h4k_current_patch24_capacity128,h4k_current_patch24_capacity128,0.21630600860592775,0.25109460789697174,1.0052775338337827,1.02983559974297,1.0175565667883764,1,0,1,0.48684243719585035,9681237,False,False
Weather,H4K,Weather__h4k_timealign_dropout2,h4k_timealign_dropout2,0.2167825209236104,0.24833937485085691,1.0068580100769613,1.0175454080971191,1.0122017090870403,1,1,2,0.48863672840396044,19115989,False,False
Weather,H4K,Weather__h4k_timealign_dropout3_lr5e5,h4k_timealign_dropout3_lr5e5,0.21805292840650922,0.24949665809653424,1.0123744294938484,1.022362854242361,1.0173686418681047,0,0,0,0.48844457573131733,19115989,False,False
Weather,H4L,Weather__h4l_d128_ff256_r64,h4l_d128_ff256_r64,0.2201264543585274,0.25044256397036474,1.0220334115262502,1.0256569546136949,1.0238451830699726,0,0,0,0.4878969409229559,6476229,False,False
Weather,H4L,Weather__h4l_d256_ff256_r128,h4l_d256_ff256_r128,0.2168123134260065,0.2491986772779383,1.0068942735977022,1.0210709324677374,1.0139826030327197,1,0,1,0.4889843760056436,20812101,False,False
Weather,H4L,Weather__h4l_d256_ff512_r256,h4l_d256_ff512_r256,0.22118637234779995,0.2522251843993348,1.0260281056222336,1.0328312143451055,1.0294296599836694,0,0,0,0.48856825495955525,36990277,False,False
Weather,H4L,Weather__h4l_d32_ff64_r32,h4l_d32_ff64_r32,0.21615140718082168,0.24957219398963884,1.0052231375876852,1.0232176917802231,1.0142204146839542,2,0,2,0.4889051718447017,1129445,False,False
Weather,H4L,Weather__h4l_lr1e5,h4l_lr1e5,0.2162107746916907,0.24869960446818984,1.0040095528408837,1.0187325096443556,1.0113710312426196,1,0,1,0.4895548659552347,4927509,False,False
Weather,H4L,Weather__h4l_lr5e4,h4l_lr5e4,0.22028094492346206,0.251434291162033,1.0225518329629484,1.0302322514644948,1.0263920422137216,0,0,0,0.48648046644936715,4927509,False,False
Weather,H4L,Weather__h4l_patch1,h4l_patch1,0.21825703989088627,0.25225466727134593,1.014487838015181,1.0341700575870543,1.0243289478011177,1,0,1,0.4888913151196441,449685,False,False
Weather,H4L,Weather__h4l_patch120,h4l_patch120,0.2184400294151149,0.25003458871450085,1.0158087570969823,1.0253130709935068,1.0205609140452445,1,0,1,0.4907432714584357,23800341,False,False
Weather,H4L,Weather__h4l_patch4,h4l_patch4,0.21636773071890375,0.2491604561029972,1.0047975731335452,1.02097690007777,1.0128872366056576,1,1,2,0.48554404478793634,1004949,False,False
Weather,H4L,Weather__h4l_patch48,h4l_patch48,0.21678659487810759,0.25014328191963353,1.007104947834604,1.0254425546140329,1.0162737512243183,1,0,1,0.4883758955760785,9645141,False,False
Weather,H4L,Weather__h4l_patch72,h4l_patch72,0.21877012538527796,0.2500179772690738,1.016580621687599,1.0250920896987832,1.020836355693191,0,0,0,0.48915730963261533,14363413,False,False
Weather,H4L,Weather__h4l_patch8,h4l_patch8,0.22172314664500614,0.2515397674777926,1.0260800656964058,1.0287287389352375,1.0274044023158218,0,0,0,0.4857812111977384,1785621,False,False
Weather,H4L,Weather__h4l_rank16,h4l_rank16,0.21573569825230898,0.24935991728963686,1.0029454104625426,1.0224457500221362,1.0126955802423394,2,1,3,0.48911299190062674,1709509,False,False
Weather,H4L,Weather__h4l_rank256,h4l_rank256,0.2189570127094953,0.2502849646849825,1.016015753516161,1.0251581321099554,1.020586942813058,0,0,0,0.4867002315093054,9432709,False,False
