comparison,layer,metric,dataset,horizon,candidate_value,reference_value,gain_percent
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTh2,192,0.37314921834879233,0.38062216224278633,1.9633496509925408
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTh2,336,0.39601546023338136,0.4011544670031402,1.2810543549845677
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTh2,720,0.4427253235342772,0.4481900473371564,1.2192871830481122
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTm2,96,0.25930802172641,0.2675101143940704,3.0660869351571085
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTm2,192,0.29852491197414394,0.3043787086906235,1.9231952003678
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTm2,336,0.33427349542036827,0.3395520991322653,1.5545784359415338
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTm2,720,0.3914023432158329,0.4001324356112204,2.181800728564265
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,Weather,96,0.1538336327509359,0.14948630882299918,-2.9081753119506226
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,Weather,192,0.19342007852230328,0.18956088445514335,-2.0358599181748094
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,Weather,336,0.2431521033024491,0.23854526704417278,-1.9312209860039786
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,Weather,720,0.3130578139237586,0.3082715591238378,-1.552609917542891
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTm1,96,0.3487971045006524,0.3335653587427803,-4.566345203015398
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTm1,192,0.38779916474590553,0.37402449456136516,-3.6828256931927816
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTm1,336,0.4262716285891783,0.411707993318024,-3.5373700553597454
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTm1,720,0.5031864526965052,0.48092659321728537,-4.62853578761504
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTh1,96,0.6926750958472709,0.6818269495438489,-1.5910409981124252
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTh1,192,0.6844134228163549,0.6782332938750281,-0.9112099033088183
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTh1,336,0.6728644461903599,0.6706581963449841,-0.32896784940519286
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTh1,720,0.7136580576158126,0.7134686896343021,-0.02654187692630039
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTh2,96,0.27866008547169546,0.2841355873504582,1.9270735953286766
