dataset,reference,target_horizon,pcc_mse,reference_mse,pcc_mse_gain_percent,pcc_mae_gain_percent
ETTh1,a6,256,1.184431899629999,1.168599373428151,-1.3548292564458997,-1.6750497625323213
ETTh1,a6,257,1.1859543094491216,1.1699444521725872,-1.3684288383781107,-1.682313098017385
ETTh1,a6,258,1.1873686034665552,1.1712923116924228,-1.3725260222107627,-1.6823466138341736
ETTh1,a6,259,1.1888096059266204,1.1726815058457805,-1.3753180211713012,-1.6829269001948255
ETTh1,a6,260,1.1904019477848824,1.1740778292600924,-1.390377887901817,-1.6870034061676753
ETTh1,a6,261,1.1918296136276019,1.1754449868567602,-1.3939084307684535,-1.6872175093389563
ETTh1,a6,262,1.1931982261647704,1.1769664926838328,-1.3791160225746557,-1.6742925839116518
ETTh1,a6,263,1.194506826792833,1.1783003460318417,-1.3754116949527884,-1.671924446392481
ETTh1,a6,264,1.195773744955659,1.1797299319596002,-1.3599564240443618,-1.6631783409301049
ETTh1,a6,265,1.197064393702543,1.1811513705073662,-1.3472467282784617,-1.6538615570883763
ETTh1,a6,266,1.1983309825672244,1.1825126012913267,-1.3376924067129314,-1.6472178137921567
ETTh1,a6,267,1.1996403546927128,1.1838803641805042,-1.331214790703772,-1.6422329265445512
ETTh1,a6,268,1.2009574515717243,1.1851569425259063,-1.3331997205486168,-1.6393801762042859
