origin,channel,min_gain,visibility96,persistent_fraction96,accuracy_eligible,gain_h96,gain_h192,gain_h336,gain_h720,fit_eligible,full_r2,full_corr,full_amplitude_ratio,full_bias_sigma,tail_r2,tail_corr,tail_amplitude_ratio,tail_bias_sigma,last192_r2,last192_corr,last192_amplitude_ratio,last192_bias_sigma,audited_eligible,channel_name,dominant_period,prominent_peaks,high_frequency_share,normalized_mae_advantage,visible_win_fraction,visible_loss_fraction,visible_net,tail_visible_net,less_dense,clearer_same_density
680,0,0.0138726262190135,0.1020241587750253,0.4791666666666667,True,0.1433558374223765,0.0875749842328602,0.0138726262190135,0.2285394233873176,True,0.6296935254886268,0.8047695786865253,0.893177692746175,0.100720179999228,0.5926026606347143,0.7884916478127035,0.8981228464940226,0.1307570966004361,0.6758108247796281,0.857099498518611,0.7119967853971232,0.1943037010095529,True,HUFL,24.0,26,0.877111793550292,0.021484743526241898,0.24444444444444444,0.09861111111111111,0.14583333333333331,0.125,False,False
751,0,0.0018334421600534,0.0831380722974433,0.2916666666666667,True,0.2411270162500357,0.0213074081374819,0.0031401405565479,0.0018334421600534,True,0.6192897523220028,0.8004013189437846,0.9218700331665682,0.0812272768841281,0.6850930442655366,0.8297982148707911,0.8604263170799559,0.0503383799131443,0.7197241647057336,0.8608227339902274,0.7261388561799681,0.0561414971893967,True,HUFL,24.0,26,0.8834845360097112,-0.0010268088103943791,0.15138888888888888,0.17777777777777778,-0.026388888888888906,-0.03385416666666666,False,False
758,0,0.0072282127175689,0.0797041981069908,0.2708333333333333,True,0.0463823079163482,0.067168707917774,0.0973951086607296,0.0072282127175689,True,0.6258241910350595,0.8018000296010649,0.8815207841376264,0.1034586764333019,0.6855327984621455,0.8337923925782296,0.8145015478290721,0.0964614885228644,0.6911817816109744,0.8543126094189901,0.7099289132843368,0.1334975703591856,True,HUFL,24.0,26,0.8858217419487499,-0.0017765546309514,0.11805555555555555,0.13333333333333333,-0.015277777777777779,-0.020833333333333343,False,False
759,0,0.0236617489198067,0.076261651801034,0.2083333333333333,True,0.059169390465939,0.0850977256445407,0.1022390615404242,0.0236617489198067,True,0.6178348125520893,0.8006976760018486,0.8745867267169325,0.1335004269172793,0.6810118391648531,0.8333571034369639,0.8174314500243226,0.1149721542260298,0.6845704732956837,0.8519234419066639,0.7220628973086709,0.1560106295453162,True,HUFL,24.0,26,0.885902588917175,-0.002338887105365761,0.075,0.10833333333333334,-0.03333333333333334,-0.0390625,False,False
772,0,0.0879516458686732,0.0758946115719461,0.2083333333333333,True,0.1518991992041295,0.1280353570423024,0.1542787301898518,0.0879516458686732,True,0.6058163792976978,0.8026468663120089,0.9289838750808428,0.149881863206106,0.6661047730121326,0.8314264160139431,0.9153751043792376,0.134602117202533,0.7080769210100872,0.8522087695950871,0.8234426325746663,0.1317398016000013,True,HUFL,24.0,25,0.8835086105557916,0.002549094669950703,0.11527777777777778,0.13472222222222222,-0.01944444444444443,-0.054687500000000014,False,False
773,0,0.0585318396840665,0.0790212170963081,0.25,True,0.1409138328604463,0.1231602210201885,0.1518089611816393,0.0585318396840665,True,0.5999754756343768,0.800526269166805,0.9226881019061336,0.1610692975508226,0.6603938634346072,0.8289363726502288,0.8962453440539208,0.1490340526070759,0.6970583960391945,0.8504980238878537,0.7997680148021443,0.1539966193658592,True,HUFL,24.0,25,0.8834202957025664,0.0009278474514109367,0.12222222222222222,0.1375,-0.015277777777777793,-0.05989583333333334,False,False
774,0,0.0135806898955924,0.083680900839045,0.3229166666666667,True,0.1528198096150279,0.1364466021568059,0.1543369368675125,0.0135806898955924,True,0.599829118780677,0.8019121529903974,0.9248329710012456,0.1677034729293396,0.661239305544654,0.8298172100610821,0.8969883743754155,0.1511467209487554,0.7019580577892982,0.8527503815480937,0.7976664675923043,0.1489661634883319,True,HUFL,24.0,25,0.8837128929943279,-0.0008899978001158297,0.1111111111111111,0.14583333333333334,-0.03472222222222224,-0.062499999999999986,False,False
776,0,0.0003323362399069,0.0798663787184533,0.2395833333333333,True,0.141761581825983,0.0700169234634562,0.1899151787476292,0.0003323362399069,True,0.5995338216038426,0.8009080894093129,0.9302590250250236,0.1587081646695391,0.6651666607561982,0.828520882479744,0.8952847215848432,0.1297026666524775,0.6981600088335629,0.8489813619572446,0.7895480733198018,0.1381196159817757,True,HUFL,24.0,25,0.8844376813040151,-0.000467587481877747,0.12222222222222222,0.10833333333333334,0.013888888888888881,-0.013020833333333329,False,False
777,0,0.0568376144544976,0.081259713271975,0.2708333333333333,True,0.1436658813293561,0.0760280106412651,0.2225353510278259,0.0568376144544976,True,0.6056332276800274,0.8021154480893032,0.9245582950929272,0.1508764845863113,0.6668376053825295,0.8270692953143238,0.8954827938483039,0.1119178586622523,0.7032087601407255,0.8482328381378197,0.7920477551203913,0.1146011518307726,True,HUFL,24.0,25,0.8846101923478639,0.0021763883617212177,0.1,0.10277777777777777,-0.002777777777777768,-0.013020833333333343,False,False
778,0,0.0710384215163427,0.0806656748289613,0.2604166666666667,True,0.1788169108669244,0.0822892279047061,0.2506090010693944,0.0710384215163427,True,0.6022226497740417,0.8041494416376445,0.937266056927673,0.1634430831996877,0.6550108564192505,0.8252737911472894,0.899095167417826,0.1435840462617398,0.6859672529584384,0.8425387153483175,0.7926619628805496,0.1463439218608812,True,HUFL,24.0,26,0.8846826484906228,0.0018861005533506502,0.1,0.12083333333333333,-0.02083333333333333,-0.04947916666666667,False,False
779,0,0.0325901443964988,0.0770242745773606,0.2395833333333333,True,0.1291307728161769,0.0325901443964988,0.2378825764549074,0.0541055986079671,True,0.5872340821254148,0.8043004484245228,0.9395558625857195,0.2033988745066122,0.6441706161848099,0.8253381255815944,0.8902569337223363,0.1811020532829906,0.6739722656210438,0.843167447868701,0.7821869599460817,0.1823196632760552,True,HUFL,24.0,26,0.8846340031217973,0.0015397703622477324,0.10138888888888889,0.09722222222222222,0.004166666666666666,-0.0026041666666666574,False,False
780,0,0.0385772061123831,0.0784198343685133,0.3020833333333333,True,0.0888643167305854,0.0385772061123831,0.2570323068721311,0.0615827950036858,True,0.5888248919924628,0.8036732976026887,0.9367318468234282,0.1983968239826153,0.6441721649614938,0.8238722578604997,0.8870960656936877,0.1749173588690843,0.6768532686406386,0.8440887268643205,0.778199087544984,0.1768928082460075,True,HUFL,24.0,26,0.8845455005014288,0.0006280281284663028,0.10138888888888889,0.11527777777777778,-0.013888888888888895,-0.046875,False,False
781,0,0.0441330715677412,0.0801127766318209,0.3020833333333333,True,0.1085263992435181,0.0441330715677412,0.2765152987711964,0.0468985216388325,True,0.5953522250104677,0.8032702533634756,0.9152698541598696,0.1932536270024516,0.648252389430537,0.8240460016582173,0.8594256983576606,0.1718944457503294,0.6794124982932508,0.8469871753029048,0.7454089590348786,0.1663028647202112,True,HUFL,24.0,26,0.8844209795775428,0.0005317235327424082,0.10138888888888889,0.11805555555555555,-0.016666666666666663,-0.039062499999999986,False,False
