system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
ISCF-BSCA-MAIN-v1,ETTh1,192,0.37692384336679324,0.40291667349386673,0.377,0.403,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTh1,192,0.41100512188859284,0.42467828032871086,0.411,0.425,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTh1,192,0.441180944442749,0.4413768947124481,0.441,0.441,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTh1,192,0.4104018211364746,0.42385467886924744,0.410,0.424,second,second,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTh1,192,0.4338264898326405,0.4310460932616244,0.434,0.431,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTh1,192,0.45705515248404294,0.44793920156927935,0.457,0.448,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTh1,192,0.42873382142152655,0.43277164533530665,0.429,0.433,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTh1,192,0.4571752560448183,0.46517454421001136,0.457,0.465,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTh1,336,0.3947626227953797,0.41720657764256425,0.395,0.417,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTh1,336,0.430756505046572,0.4346470974740528,0.431,0.435,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTh1,336,0.4672858715057373,0.45861026644706726,0.467,0.459,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTh1,336,0.4259102940559387,0.43256884813308716,0.426,0.433,second,second,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTh1,336,0.4483175152260926,0.4416170846273963,0.448,0.442,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTh1,336,0.49578371600864984,0.46680730299756606,0.496,0.467,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTh1,336,0.4395839739597164,0.4419204562982333,0.440,0.442,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTh1,336,0.48368501816896425,0.48093434105797106,0.484,0.481,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTh1,720,0.44646421290202115,0.4610093077705735,0.446,0.461,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTh1,720,0.4589570479260551,0.4613145207779275,0.459,0.461,normal,best,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTh1,720,0.4989432990550995,0.49280020594596863,0.499,0.493,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTh1,720,0.4515272080898285,0.46108269691467285,0.452,0.461,second,best,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTh1,720,0.469748079416951,0.46545722247915283,0.470,0.465,normal,second,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTh1,720,0.5093046218759189,0.49383628933681967,0.509,0.494,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTh1,720,0.4552059014759845,0.46912057278761454,0.455,0.469,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTh1,720,0.5377904354270716,0.5380031065415222,0.538,0.538,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTh1,Avg.,0.3915817872671645,0.4168362744723449,0.392,0.417,best,best,1,four_horizon_arithmetic_mean
TimeAlign,ETTh1,Avg.,0.41887321131995003,0.4311124090763134,0.419,0.431,normal,normal,1,four_horizon_arithmetic_mean
QDF,ETTh1,Avg.,0.45211343467235565,0.45263028144836426,0.452,0.453,normal,normal,1,four_horizon_arithmetic_mean
AMD,ETTh1,Avg.,0.4163931608200073,0.43021731078624725,0.416,0.430,second,second,1,four_horizon_arithmetic_mean
SimpleTM,ETTh1,Avg.,0.43351192990430326,0.43593086461390973,0.434,0.436,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ETTh1,Avg.,0.4678765538491254,0.45761408034932904,0.468,0.458,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ETTh1,Avg.,0.4294678466066798,0.43950980941932405,0.429,0.440,normal,normal,1,four_horizon_arithmetic_mean
DLinear,ETTh1,Avg.,0.47357468561379124,0.4801499016560291,0.474,0.480,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,ETTh2,96,0.2405494467507989,0.3144207512151374,0.241,0.314,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTh2,96,0.2935767783007274,0.3470353002970417,0.294,0.347,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTh2,96,0.27221277356147766,0.3404507040977478,0.272,0.340,second,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTh2,96,0.2846989333629608,0.3509899973869324,0.285,0.351,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTh2,96,0.28542950183792487,0.3436920785794959,0.285,0.344,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTh2,96,0.3028604891627276,0.3525030397661176,0.303,0.353,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
