config,candidate_arm,baseline,comparison,dataset,target_horizon,status,candidate_mse,baseline_mse,relative_mse_pct,candidate_mae,baseline_mae,relative_mae_pct,candidate_wins_mse
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,ETTh2,720,ok,0.41019314527511597,0.40071341395378113,2.3657134977837835,0.4402090013027191,0.43355804681777954,1.5340401438183715,False
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,ETTm1,96,ok,0.27470168471336365,0.27536457777023315,-0.24073287212076355,0.33181411027908325,0.332914263010025,-0.3304612788274097,True
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,ETTm1,192,ok,0.31150180101394653,0.31122976541519165,0.08740667795446022,0.3538930416107178,0.3546692728996277,-0.21886059724423035,False
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,ETTm1,336,ok,0.3499101996421814,0.34936174750328064,0.15698688903988955,0.3750084936618805,0.37587758898735046,-0.23121764929145971,False
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,ETTm1,720,ok,0.410445898771286,0.4094070494174957,0.25374486229985393,0.40615585446357727,0.407027930021286,-0.2142544757710252,False
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,Weather,96,ok,0.14139200747013092,0.14160892367362976,-0.15317975581734533,0.1816391795873642,0.18197932839393616,-0.1869161786527962,True
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,Weather,192,ok,0.18248705565929413,0.18256054818630219,-0.0402565218707962,0.22320301830768585,0.22340832650661469,-0.09189818577454156,True
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,Weather,336,ok,0.23187917470932007,0.2318556308746338,0.010154523570315988,0.2637249529361725,0.26390406489372253,-0.06787010181983355,False
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,Weather,720,ok,0.3041919767856598,0.3036164939403534,0.1895426819003676,0.31492626667022705,0.31474044919013977,0.05903832207312387,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,ETTh2,96,ok,0.24891254305839539,0.24416223168373108,1.945555355513573,0.31958287954330444,0.31473836302757263,1.5392202174310032,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,ETTh2,192,ok,0.29091015458106995,0.2861934006214142,1.6481001830979558,0.3507513701915741,0.3473576307296753,0.9770159517641153,False
