dataset,checkpoint_seed,candidate_family,control_family,horizon,mse_log_effect,mse_reduction,mae_log_effect,mae_reduction
ETTh1,2021,block_pca_fit_b32,balanced_interval,144,0.006066042994989664,0.006047681701739416,0.0030047189019713934,0.0030002092520057255
ETTh1,2021,block_pca_fit_b32,balanced_interval,192,-0.0002252873302221838,-0.00022531270931858138,0.0007589460612803109,0.0007586581345632171
ETTh1,2021,block_pca_fit_b32,balanced_interval,288,-0.002983859174950339,-0.0029883153137995055,0.0006186411993938931,0.0006184498803817329
ETTh1,2021,block_pca_fit_b32,balanced_interval,336,-0.003739363074046511,-0.0037463632147825,0.0011693307500023722,0.0011686473492007465
ETTh1,2021,block_pca_fit_b32,balanced_interval,512,-0.01818349851550402,-0.018349824927192726,-0.007150421225627711,-0.007176046528304392
ETTh1,2021,block_pca_fit_b32,balanced_interval,720,-0.027024838753582494,-0.027393321616107746,-0.012914375704151047,-0.012998126395026288
ETTh1,2021,block_pca_fit_b32,dct2,48,0.02550579549658975,0.02518327059766079,0.01125552101570113,0.01119241462604148
ETTh1,2021,block_pca_fit_b32,dct2,96,-0.006101376351433433,-0.0061200276617174865,-0.002523462943918674,-0.0025266495564024716
ETTh1,2021,block_pca_fit_b32,dct2,144,-0.0032382241904602128,-0.0032434729023869124,-0.0014915995990278646,-0.001492712587018552
ETTh1,2021,block_pca_fit_b32,dct2,192,-0.008826314466895835,-0.008865381234365088,-0.0037148193321844022,-0.0037217278254724206
ETTh1,2021,block_pca_fit_b32,dct2,288,-0.014261188313325072,-0.014363364198101136,-0.005804357639667457,-0.005821235562838201
ETTh1,2021,block_pca_fit_b32,dct2,336,-0.015227755727928123,-0.015344288760992031,-0.005921145879667905,-0.00593871051440753
ETTh1,2021,block_pca_fit_b32,dct2,512,-0.027856375252270197,-0.02824799195708394,-0.012591160387434373,-0.012670762792085233
ETTh1,2021,block_pca_fit_b32,dct2,720,-0.03638888120729357,-0.03705906086421984,-0.017765229434963364,-0.017923969749487068
ETTh1,2021,block_pca_fit_b32,pca_fit,48,-0.0009561471257119158,-0.0009566043800974811,-0.007199979440632709,-0.007225961612207232
ETTh1,2021,block_pca_fit_b32,pca_fit,96,-0.031235600772360955,-0.03172855129787222,-0.019836261121696126,-0.020034307078962588
ETTh1,2021,block_pca_fit_b32,pca_fit,144,-0.027988061550616943,-0.0283834070448874,-0.018988500883031285,-0.019169928995800944
ETTh1,2021,block_pca_fit_b32,pca_fit,192,-0.03509393829456371,-0.03571699771839043,-0.021894173689638995,-0.022135609906396736
ETTh1,2021,block_pca_fit_b32,pca_fit,288,-0.04074878673324902,-0.04159041134647756,-0.024041712775034717,-0.02433304477334408
