candidate_family,control_family,dataset,mse_reduction,mae_reduction,positive_checkpoints
block_dct2_b16,pca_fit,Weather,0.005686541681094948,0.00593925773713766,3
block_dct2_b32,balanced_interval,ETTh1,-0.00960891464817637,-0.007343843412303874,0
block_dct2_b32,balanced_interval,ETTh2,-0.026240205210830814,-0.011930015036427655,0
block_dct2_b32,balanced_interval,ETTm1,0.002229021313219892,0.001655150686232898,3
block_dct2_b32,balanced_interval,ETTm2,0.0033693954782458846,-0.0013070671015560364,1
block_dct2_b32,balanced_interval,Weather,-0.0043826121785246475,-0.0017974304388215234,0
block_dct2_b32,dct2,ETTh1,-0.01316393848701769,-0.008662624759339765,0
block_dct2_b32,dct2,ETTh2,-0.042020315935295205,-0.019568268674813538,0
block_dct2_b32,dct2,ETTm1,-0.015411758487224425,-0.008946978896275937,0
block_dct2_b32,dct2,ETTm2,-0.0027485375086306885,-0.0078044061408457654,1
block_dct2_b32,dct2,Weather,-0.004827257312100874,-0.0010026420438056238,0
block_dct2_b32,pca_fit,ETTh1,-0.030300417146981617,-0.020612612458699386,0
block_dct2_b32,pca_fit,ETTh2,-0.05380345398489483,-0.026366267115648823,0
block_dct2_b32,pca_fit,ETTm1,-0.011780918241797833,-0.009817119448619849,0
block_dct2_b32,pca_fit,ETTm2,-0.018179189935102036,-0.012630292395349407,0
block_dct2_b32,pca_fit,Weather,0.003059361790530124,0.005827479038499006,3
block_dct2_b48,balanced_interval,ETTh1,-0.001303432530584292,-0.0029655891385871325,2
block_dct2_b48,balanced_interval,ETTh2,-0.005224054918010701,-0.0015332058361920975,0
block_dct2_b48,balanced_interval,ETTm1,-0.002945246250775968,-0.0014187590115548598,0
block_dct2_b48,balanced_interval,ETTm2,0.012122277841548956,0.0024246016695685935,3
block_dct2_b48,balanced_interval,Weather,-0.0011024282854821266,-0.001594442118227013,1
block_dct2_b48,dct2,ETTh1,-0.004829211196871297,-0.004278638619481745,0
block_dct2_b48,dct2,ETTh2,-0.020681008181932636,-0.009092982243424474,0
block_dct2_b48,dct2,ETTm1,-0.02067750808134039,-0.012053532613776063,0
block_dct2_b48,dct2,ETTm2,0.0060580754420109795,-0.004048523102205381,2
block_dct2_b48,dct2,Weather,-0.0015456212654789692,-0.0007998147665084776,0
block_dct2_b48,pca_fit,ETTh1,-0.02182471772891148,-0.016176687663477685,0
block_dct2_b48,pca_fit,ETTh2,-0.03222284190637148,-0.015821136434476912,0
block_dct2_b48,pca_fit,ETTm1,-0.01702783892696247,-0.012926352334028834,0
block_dct2_b48,pca_fit,ETTm2,-0.009237057680853589,-0.00885642425541433,0
block_dct2_b48,pca_fit,Weather,0.006315241157737739,0.006028922368537026,3
block_dct2_b96,balanced_interval,ETTh1,-0.0036435064359319203,-0.004269255636909053,0
block_dct2_b96,balanced_interval,ETTh2,-0.004214470416431526,-0.0029225600012803277,1
block_dct2_b96,balanced_interval,ETTm1,-0.0018594677370686874,-4.391732720576691e-05,1
block_dct2_b96,balanced_interval,ETTm2,0.02318602756170074,0.012394711569010397,3
block_dct2_b96,balanced_interval,Weather,0.0024878046502341267,0.006217377843751648,2
block_dct2_b96,dct2,ETTh1,-0.007177524944793179,-0.0055840118350005685,0
block_dct2_b96,dct2,ETTh2,-0.019655899678136635,-0.010492823536425444,0
block_dct2_b96,dct2,ETTm1,-0.019572532797951903,-0.010664090513846203,0
block_dct2_b96,dct2,ETTm2,0.017189741277787163,0.0059862814212973126,3
block_dct2_b96,dct2,Weather,0.002046201084056176,0.007005807591382696,3
block_dct2_b96,pca_fit,ETTh1,-0.024212750447178966,-0.01749752610342914,0
block_dct2_b96,pca_fit,ETTh2,-0.03118614150284804,-0.0172303112063823,0
block_dct2_b96,pca_fit,ETTm1,-0.01592681473897506,-0.01153571194524794,0
block_dct2_b96,pca_fit,ETTm2,0.0020659062022537755,0.0012264320774687532,2
block_dct2_b96,pca_fit,Weather,0.009878872258927585,0.013781284781261394,3
block_pca_fit_b144,balanced_interval,ETTh1,-0.010592678931309552,-0.006284766618331661,0
block_pca_fit_b144,balanced_interval,ETTh2,0.0014873825450546496,7.50884984195288e-05,2
block_pca_fit_b144,balanced_interval,ETTm1,0.007339402497603342,0.005858441094503841,3
block_pca_fit_b144,balanced_interval,ETTm2,-0.003495310383549999,-0.004999816064213292,1
block_pca_fit_b144,balanced_interval,Weather,-0.009339629643077885,-0.009761472577906938,0
block_pca_fit_b144,dct2,ETTh1,-0.014151166790156378,-0.007602161456947476,0
block_pca_fit_b144,dct2,ETTh2,-0.013866371462251115,-0.00747254817595544,0
block_pca_fit_b144,dct2,ETTm1,-0.01021102479600744,-0.004699050776284519,0
block_pca_fit_b144,dct2,ETTm2,-0.009655383166502052,-0.011521116825921274,0
block_pca_fit_b144,dct2,Weather,-0.00978646927272142,-0.008960365811454762,0
