dataset,checkpoint_seed,family,structure_seed_count,mean_val_mse_h48,mean_val_mae_h48,mean_val_mse_h96,mean_val_mae_h96,mean_val_mse_h144,mean_val_mae_h144,mean_val_mse_h192,mean_val_mae_h192,mean_val_mse_h288,mean_val_mae_h288,mean_val_mse_h336,mean_val_mae_h336,mean_val_mse_h512,mean_val_mae_h512,mean_val_mse_h720,mean_val_mae_h720,mean_horizon_log_mse,mean_horizon_log_mae
ETTm2,2021,block_pca_fit_b48,3,0.13561460025400812,0.25659110938805185,0.15878777517877476,0.27749666764652436,0.17780298111334783,0.29482451458267406,0.19215401042781072,0.3072019496950995,0.21632793488892768,0.32618200605419007,0.23011912725932654,0.3362652529252223,0.2749612416572825,0.365146774488539,0.3159299904578569,0.3899394611891139,-1.582267496066222,-1.1504021412327419
ETTm2,2021,block_pca_fit_b96,3,0.13452142929161834,0.25598812302410817,0.15862252083030856,0.27847353729795293,0.1759952616870929,0.2928820041866545,0.19073629298254183,0.3051175230048429,0.21441459898995036,0.3240138390163589,0.22843092671507448,0.3344542670165698,0.27174840111108345,0.3624475930415357,0.31223880365847906,0.3874348060908531,-1.590581526778111,-1.15517593103479
ETTm2,2021,dct2,3,0.13665731149437585,0.2570540606101938,0.1609379206179927,0.27894321128313804,0.17730472668440692,0.29243087737342055,0.19086623522620738,0.30385744871982884,0.21474294100107755,0.32232339737653315,0.22825955043711502,0.33210857776560115,0.2701963413335824,0.35982298221791303,0.31006773648237496,0.38443063985686915,-1.58727996028981,-1.1585709612020143
ETTm2,2021,pca_fit,3,0.13217288104105474,0.25389374947941057,0.15634797599785097,0.2761603305892896,0.17394761664276426,0.2913852990611321,0.18925731955389613,0.3042986352311222,0.21503553211919904,0.3241215042760648,0.22904900176668638,0.33429010089205136,0.2726433210294323,0.3629859861783322,0.31102246002419875,0.3864038225491161,-1.5964020949157318,-1.1583892347773117
ETTm2,2022,balanced_interval,3,0.13907789622151764,0.2599936345933663,0.16317916059534718,0.2807774616814493,0.18059563673334547,0.2949949907100264,0.19496724988694797,0.3073143557828492,0.22000798869479518,0.32694043916670823,0.2338399468759258,0.336900252580025,0.2758169308100325,0.36415990404575116,0.31567158917933213,0.3878066689264559,-1.5675408414759135,-1.1476660251322661
ETTm2,2022,block_dct2_b144,3,0.13586342180817176,0.2565099268752202,0.15689052915981982,0.27509326230376535,0.1752183913718976,0.2907921568719393,0.190891883502582,0.30430593255095745,0.21727312884579636,0.32557248204300926,0.2315355522482047,0.33624753782637334,0.27338111284010325,0.3636274792681347,0.31443730946555726,0.3884248117814775,-1.5861954037340713,-1.1556825110303266
ETTm2,2022,block_dct2_b16,3,0.1432751076523609,0.264468976544419,0.1671457398677956,0.28563886224363566,0.18613341517522577,0.30205317502716383,0.20020837493202837,0.314281376253068,0.2257902814861258,0.33381131157752575,0.23894315027388266,0.3432024406935621,0.2814908865680103,0.3701593684436318,0.31750198736260254,0.3919276867309856,-1.5445213342173882,-1.1293488567152046
ETTm2,2022,block_dct2_b32,3,0.140151759487258,0.2611050720423669,0.16176704166475292,0.2809385497874048,0.18011136072901962,0.29647799232847694,0.19449405882420587,0.30884307845004827,0.22037608233849845,0.3293130635079529,0.23458333121645525,0.33978117004077596,0.277352762637225,0.3670141968950713,0.3158482317637274,0.3902064996222643,-1.566935463378562,-1.1420987248915035
ETTm2,2022,block_dct2_b48,3,0.1359426563956041,0.25877810221454545,0.1587738726377291,0.2779728824743255,0.17752953889892684,0.29438557872566806,0.19192231313345626,0.3070283134600785,0.21745669748454807,0.32666468088494127,0.2316525749989056,0.3373130752571558,0.2761781887767117,0.3657824939859276,0.316984953910934,0.39014733348341407,-1.5798701684256182,-1.1485260397446544
ETTm2,2022,block_dct2_b96,3,0.13602685998137334,0.2568097496757003,0.1583132195391697,0.27649724219487226,0.1763083705923868,0.29139042979256946,0.1908993094208785,0.3037487246318033,0.21643432680803745,0.32464552650755446,0.23072228264534053,0.3353314096801217,0.2738988636052629,0.3629394631354358,0.31512317943991414,0.38813745920203674,-1.5845511584963081,-1.1558990213336193
