comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,dataset,horizon,segment,future_region,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,193-336,middle_97_336,0.44834521412849426,0.4433876872062683,1.1181020730329116,False,0.46630024909973145,0.46088793873786926,1.1743224126636198,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,1-96,early_1_96,0.2628490626811981,0.2567152678966522,2.3893377416941197,False,0.34026822447776794,0.3271549642086029,4.0082718294941255,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,97-192,middle_97_336,0.34007135033607483,0.3369782865047455,0.9178822360964789,False,0.3935767114162445,0.3875757157802582,1.5483414960365316,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,193-336,middle_97_336,0.3681034743785858,0.3621416389942169,1.6462717186918496,False,0.42186036705970764,0.4163040220737457,1.3346844352557508,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,337-720,late_337_720,0.47411489486694336,0.4712275564670563,0.6127269851395001,False,0.4919794499874115,0.48493242263793945,1.4531978107666044,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,96,1-96,early_1_96,0.15502578020095825,0.14891685545444489,4.102238613534337,False,0.20595115423202515,0.19556677341461182,5.309890139363249,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,192,1-96,early_1_96,0.15595151484012604,0.1498727649450302,4.055940315323703,False,0.20658934116363525,0.19617755711078644,5.307326794251499,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,192,97-192,middle_97_336,0.243030846118927,0.2363300323486328,2.8353627779347024,False,0.28441494703292847,0.2810879349708557,1.1836196606651583,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,1-96,early_1_96,0.1571129411458969,0.151143416762352,3.949576178320102,False,0.20727460086345673,0.19699618220329285,5.217572515977453,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,97-192,middle_97_336,0.24451956152915955,0.2377781718969345,2.835159164713863,False,0.2855936288833618,0.2822696566581726,1.1775875113684275,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,193-336,middle_97_336,0.32524093985557556,0.31445738673210144,3.429257374278527,False,0.3373744785785675,0.3329090178012848,1.3413456946210323,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,1-96,early_1_96,0.15372411906719208,0.1481466442346573,3.7648337303545887,False,0.20618508756160736,0.19586674869060516,5.268040103785676,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,97-192,middle_97_336,0.23885701596736908,0.2330068200826645,2.5107401931965256,False,0.2847261130809784,0.28160199522972107,1.109408990056604,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,193-336,middle_97_336,0.324032723903656,0.3140771985054016,3.1697701856835625,False,0.3388110399246216,0.334377259016037,1.3259815938535313,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,337-720,late_337_720,0.4037609398365021,0.39324691891670227,2.673643559309591,False,0.38509970903396606,0.3816656768321991,0.8997487618664701,False
