comparison,layer,metric,candidate,reference,dataset,horizon,gain_percent,candidate_value,reference_value
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTh2,720,1.972142955156686,0.43726292100327147,0.4460598590900987
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTm2,96,-2.7636278027194816,0.2570937686808783,0.2501797320491976
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTm2,192,-1.4235184495599684,0.29276698080566765,0.2886578825908774
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTm2,336,-0.012630179618255966,0.32682222816677275,0.3267809551451797
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTm2,720,1.728635214032015,0.3778377014241379,0.38448402771962803
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,Weather,96,0.36557022622404345,0.14226326643408893,0.1427852467837709
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,Weather,192,0.5119355743188447,0.18534350720630186,0.18629722899550005
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,Weather,336,0.1910268009775895,0.23831301012039718,0.23876912313805004
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,Weather,720,0.5917104997754108,0.30990243883580365,0.31174707903519805
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTm1,96,2.9633133952418067,0.28192920746072786,0.2905387821093465
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTm1,192,2.569238034864052,0.3226731900765245,0.3311820451450313
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTm1,336,1.5653421336302098,0.3638915464184403,0.3696782762352282
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTm1,720,1.0344456809562086,0.4220871404047322,0.4264990413169551
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTh1,96,-0.2413566483390417,0.3685761305282808,0.367688689431148
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTh1,192,-2.628372977127702,0.40142941148704503,0.3911485682195407
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTh1,336,-6.653815564163601,0.4390991775281478,0.4117050807844591
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTh1,720,-7.247342797841672,0.4962784586033915,0.46274196232429077
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTh2,96,0.2166282483982651,0.24693585162209505,0.24747194576347958
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTh2,192,0.869518904270461,0.28995278283575815,0.29249609164688
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTh2,336,0.8691670385684414,0.32441276261485524,0.3272571741035135
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTh2,720,1.0936103784330964,0.40378330306203686,0.40824794495783556
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTm2,96,-3.015192949473433,0.16862529179995178,0.1636897305843601
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTm2,192,-1.261248171770335,0.223133863148563,0.22035464422684095
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTm2,336,-0.5001825674770588,0.27428065274988755,0.2729155766117461
context_vs_pcsd_equal,source_family_context,mse,tsaf,pcsd_equal,ETTm2,720,-0.2951406439615889,0.349078494270983,0.34805125355990985
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,Weather,96,0.5727461443965076,0.18419236973369532,0.18525340144785127
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,Weather,192,0.5522453350907508,0.22792029048207052,0.22918595925071558
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,Weather,336,0.1138201947100903,0.2708840045471525,0.271192676579675
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,Weather,720,0.27274985586559497,0.3207312536878515,0.3216084402450715
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTm1,96,1.1769137085891002,0.3361060951146954,0.3401088831850293
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTm1,192,0.9267083143758903,0.359119036807138,0.36247815197932653
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTm1,336,0.2678922102578918,0.381483913047582,0.3825086238544527
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTm1,720,0.19980628090544572,0.4109234255027314,0.4117461201120999
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTh1,96,0.15198968812997204,0.4023602280229598,0.4029727049805086
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTh1,192,-0.9022182463633843,0.4210976643159992,0.41733241511880836
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTh1,336,-3.059919284781265,0.4478225160298748,0.43452636013853757
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTh1,720,-3.8071298679097643,0.4940690347357579,0.4759490367997267
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTh2,96,0.6632199794094906,0.32041395100243886,0.32255318819074213
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTh2,192,1.072180154037572,0.3525165417730261,0.3563371176297215
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTh2,336,1.1432675122531433,0.38158959702345385,0.3860026398007352
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTh2,720,0.9668887230230072,0.43726292100327147,0.4415320445505638
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTm2,96,-3.6018552420210126,0.2570937686808783,0.2481555644735219
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTm2,192,-2.1972620086263106,0.29276698080566765,0.286472430915963
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTm2,336,-1.517574039641456,0.32682222816677275,0.32193660187264955
context_vs_pcsd_equal,source_family_context,mae,tsaf,pcsd_equal,ETTm2,720,-1.0440137463846755,0.3778377014241379,0.37393378134452504
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,Weather,96,0.01092656785042223,0.14226326643408893,0.14227881262508718
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,Weather,192,0.18034680254104263,0.18534350720630186,0.18567837221359934
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,Weather,336,0.24088172789705764,0.23831301012039718,0.23888844874347695
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,Weather,720,0.24175181008803115,0.30990243883580365,0.31065344917227855
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTm1,96,1.5599188420830412,0.28192920746072786,0.28639676455412383
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTm1,192,0.35178645471989345,0.3226731900765245,0.3238123179497864
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTm1,336,-0.43764204832663633,0.3638915464184403,0.36230594326711696
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTm1,720,-0.20186144464331424,0.4220871404047322,0.4212368256630791
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTh1,96,-1.0595366144342755,0.3685761305282808,0.36471187467886856
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTh1,192,-1.984468064203515,0.40142941148704503,0.3936181843242329
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTh1,336,-7.114643837973689,0.4390991775281478,0.40993384451928766
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTh1,720,-5.901802365451947,0.4962784586033915,0.46862135253449755
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTh2,96,-1.060588516069494,0.24693585162209505,0.24434436336458712
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTh2,192,-1.1962669921558255,0.28995278283575815,0.2865251767224118
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTh2,336,-0.7276007212348334,0.32441276261485524,0.3220693834579387
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTh2,720,1.1768581548658674,0.40378330306203686,0.40859184956374506
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTm2,96,-2.6707899306738225,0.16862529179995178,0.16423881798689996
